Time,Angle,Score
0.0,179.0,0.0
0.033400000000256114,179.0,0.0
0.06669999999940046,177.0,0.6845809443351841
0.10009999999965657,174.0,0.6781763623970378
0.13329999999768916,171.0,0.6799114366890557
0.16660000000047148,170.0,0.6814538458995233
0.19989999999961583,169.0,0.6834082783569841
0.2330999999976484,168.0,0.6856904931442311
0.26640000000043074,167.0,0.6883120188879049
0.2995999999984633,166.0,0.6912430462294452
0.33289999999760767,165.0,0.6946291152389737
0.36620000000039,164.0,0.6982586091013183
0.3993999999984226,163.0,0.702299168918911
0.4326999999975669,162.0,0.7067452428431698
0.4658999999992375,161.0,0.7115289067290189
0.4991999999983818,160.0,0.7165754180645492
0.5324999999975262,159.0,0.7219104102619172
0.5656999999991967,158.0,0.7274360580014205
0.5989999999983411,157.0,0.7332242875707543
0.6322000000000116,156.0,0.739156782235202
0.665499999999156,155.0,0.7451076639091815
0.6987999999983003,154.0,0.7512347026347496
0.7319999999999709,153.0,0.7573413825377237
0.7652999999991152,152.0,0.763417234115619
0.7984999999971478,151.0,0.7694351688232619
0.8317999999999302,150.0,0.7754201879243958
0.8650999999990745,149.0,0.7813392825804479
0.8982999999971071,148.0,0.7871648638690442
0.9315999999998894,147.0,0.7928642210884379
0.964799999997922,146.0,0.7984105723145505
0.9980999999970663,145.0,0.803821142397203
1.0313999999998487,144.0,0.8091106203135348
1.0645999999978812,143.0,0.8142453571616495
1.0978999999970256,142.0,0.8192432394399454
1.1310999999986961,141.0,0.8240670348140837
1.1643999999978405,140.0,0.8287654545506143
1.1976999999969848,139.0,0.8333004563959339
1.2308999999986554,138.0,0.8376600121584407
1.2641999999977998,137.0,0.8418927501386805
1.2973999999994703,136.0,0.8460067511800091
1.3306999999986147,135.0,0.8499329589949149
1.363999999997759,134.0,0.8537964719254367
1.3971999999994296,133.0,0.8575232114504378
1.430499999998574,132.0,0.8611245579925946
1.4637000000002445,131.0,0.8646026948516842
1.4969999999993888,130.0,0.867967990215497
1.5302999999985332,129.0,0.8711888459677131
1.5635000000002037,128.0,0.8743407035670375
1.596799999999348,127.0,0.8774268766753356
